简介,小区,户型,面积,关注人数,观看次数,发布时间,房价,单价/平,城区,经纬度
无个税增值税，不临街不把边，诚意出售,翠屏北里西区 , 2室1厅 , 97.94平米 ,24人关注 , 共24次带看 , 1个月以前发布,490,单价50031元/平米,通州,"116.651506,39.895875"
果园 雅丽世居 南北两居满五年 住房,雅丽世居 , 2室2厅 , 92.33平米 ,13人关注 , 共50次带看 , 3个月以前发布,470,单价50905元/平米,通州,"116.651427,39.902087"
南北通透 万达广场 地铁通州北苑站,北苑135号院 , 2室1厅 , 60.04平米 ,45人关注 , 共36次带看 , 1个月以前发布,315,单价52466元/平米,通州,"116.644174,39.914073"
通州新城  100.16平米 400万，详情电话咨询,玉桥东路34号院 , 2室2厅 , 100.16平米 ,45人关注 , 共41次带看 , 3个月以前发布,450,单价44929元/平米,通州,"116.691509,39.899278"
武夷花园荔景园精装修复式房 电梯房居住方便,荔景园 , 1室2厅 , 82.25平米 ,43人关注 , 共28次带看 , 1个月以前发布,448,单价54469元/平米,通州,"116.711337,39.9184"
BOBO自由城 1室1厅 370万,BOBO自由城 , 1室1厅 , 55.14平米 ,57人关注 , 共13次带看 , 27天以前发布,370,单价67102元/平米,通州,"116.700632,39.914747"
龙鼎园 4室2厅 535万,龙鼎园 , 4室2厅 , 120.01平米 ,16人关注 , 共9次带看 , 24天以前发布,535,单价44580元/平米,通州,"116.655566,39.883931"
群芳三园两居室 只有契税 随时看房 南北通透 中间楼层,群芳三园 , 2室1厅 , 79.46平米 ,11人关注 , 共7次带看 , 23天以前发布,390,单价49082元/平米,通州,"116.669238,39.879446"
翠福园 1室1厅 340万,翠福园 , 1室1厅 , 73.91平米 ,61人关注 , 共20次带看 , 29天以前发布,340,单价46002元/平米,通州,"116.658604,39.953468"
雅丽世居 2室1厅 475万,雅丽世居 , 2室1厅 , 95.18平米 ,10人关注 , 共3次带看 , 14天以前发布,475,单价49906元/平米,通州,"116.651427,39.902087"
武夷花园牡丹园  满五年  带电梯正规一居室,武夷花园牡丹园 , 1室1厅 , 64.07平米 ,18人关注 , 共28次带看 , 1个月以前发布,405,单价63213元/平米,通州,"116.704315,39.92475"
迎喜家园 2室2厅 406万,迎喜家园 , 2室2厅 , 89.3平米 ,34人关注 , 共23次带看 , 2个月以前发布,406,单价45465元/平米,通州,"116.69336,39.879708"
周仓庵胡同 3室1厅 378万,周仓庵胡同 , 3室1厅 , 70.96平米 ,45人关注 , 共39次带看 , 3个月以前发布,378,单价53270元/平米,通州,"116.673832,39.910583"
至善家园 3室1厅 499万,至善家园 , 3室1厅 , 123平米 ,19人关注 , 共29次带看 , 2个月以前发布,499,单价40570元/平米,通州,"116.680468,39.936884"
欣艺景园 南北通透 两居室 中间楼层无遮挡 电梯房,欣艺景园 , 2室2厅 , 90.31平米 ,35人关注 , 共60次带看 , 4个月以前发布,560,单价62009元/平米,通州,"116.69133,39.897203"
武夷花园牡丹园  满五年  带电梯正规一居室,武夷花园牡丹园 , 1室1厅 , 64.07平米 ,18人关注 , 共28次带看 , 1个月以前发布,405,单价63213元/平米,通州,"116.704315,39.92475"
东向两居 精装修 拎包入住 电梯房 ,大方居 , 2室1厅 , 89.99平米 ,89人关注 , 共26次带看 , 1个月以前发布,332,单价36893元/平米,通州,"116.639972,39.882381"
满五年业主在北京有一套住房.南北通透视野开,翠屏北里东区 , 3室2厅 , 126.1平米 ,21人关注 , 共27次带看 , 2个月以前发布,606,单价48058元/平米,通州,"116.654727,39.89598"
龙湖大方居  南向两居室  满五年,大方居 , 2室1厅 , 91.53平米 ,124人关注 , 共22次带看 , 2个月以前发布,329,单价35945元/平米,通州,"116.639972,39.882381"
正规2居室，东西通透，户型方正,大方居 , 2室1厅 , 86.6平米 ,51人关注 , 共26次带看 , 1个月以前发布,320,单价36952元/平米,通州,"116.639972,39.882381"
满五年 南北通透 落地飘窗 有花园,新潮嘉园二期 , 2室1厅 , 94.53平米 ,8人关注 , 共21次带看 , 31天以前发布,580,单价61357元/平米,通州,"116.703237,39.939938"
月亮城堡  温馨小一居  诚心出售,月亮城堡 , 1室0厅 , 58.18平米 ,19人关注 , 共47次带看 , 1个月以前发布,348,单价59815元/平米,通州,"116.685667,39.925912"
龙湖大方居   东向两居室，电梯房。,大方居 , 2室1厅 , 89.99平米 ,112人关注 , 共55次带看 , 2个月以前发布,308,单价34227元/平米,通州,"116.639972,39.882381"
南北两居 H户型 板楼2层 一梯两户,中泽家园 , 2室1厅 , 89.31平米 ,37人关注 , 共32次带看 , 2个月以前发布,425,单价47588元/平米,通州,"116.64484,39.8809"
四海公寓 南北通透 三居室 采光充足,四海公寓 , 3室1厅 , 105.45平米 ,40人关注 , 共63次带看 , 3个月以前发布,430,单价40778元/平米,通州,"116.703713,39.95821"
帅府园 2室1厅 495万,帅府园 , 2室1厅 , 85.48平米 ,6人关注 , 共0次带看 , 1个月以前发布,495,单价57909元/平米,通州,"116.652626,39.909058"
玉桥南里南北通透正规三居 诚心出售,玉桥南里 , 3室1厅 , 116.35平米 ,10人关注 , 共13次带看 , 1个月以前发布,530,单价45553元/平米,通州,"116.690108,39.895196"
世纪星城三期 3室2厅 790万,世纪星城三期 , 3室2厅 , 144.52平米 ,47人关注 , 共95次带看 , 4个月以前发布,790,单价54664元/平米,通州,"116.640671,39.901842"
正规两居室，户型方正，格局合理，电梯房,大方居 , 2室1厅 , 88.44平米 ,34人关注 , 共15次带看 , 1个月以前发布,330,单价37314元/平米,通州,"116.639972,39.882381"
龙鼎园 4室2厅 780万,龙鼎园 , 4室2厅 , 185.24平米 ,24人关注 , 共15次带看 , 2个月以前发布,780,单价42108元/平米,通州,"116.655566,39.883931"
长城国际 1室0厅 295万,长城国际 , 1室0厅 , 50.84平米 ,34人关注 , 共59次带看 , 3个月以前发布,295,单价58026元/平米,通州,"116.638919,39.900576"
加州小镇C区 成熟社区 南北通透两居 不临街不把边,DBC加州小镇C区 , 2室1厅 , 98平米 ,44人关注 , 共70次带看 , 3个月以前发布,535,单价54592元/平米,通州,"116.69007,39.870642"
月亮城堡 3室3厅 1290万,月亮城堡 , 3室3厅 , 226.41平米 ,52人关注 , 共79次带看 , 5个月以前发布,1290,单价56977元/平米,通州,"116.685667,39.925912"
时尚街区正规一居室 南北通透  业主诚心出售,时尚街区西区 , 1室1厅 , 65平米 ,39人关注 , 共96次带看 , 4个月以前发布,363,单价55847元/平米,通州,"116.671991,39.887056"
梨园城铁直线距离100米 满五年 楼层好，采光好,时尚街区东区 , 1室0厅 , 64.98平米 ,34人关注 , 共71次带看 , 3个月以前发布,360,单价55402元/平米,通州,"116.674125,39.888623"
新华联南区 电梯复式 六居室 满五年 精装修,新华联家园南区 , 6室3厅 , 244.9平米 ,27人关注 , 共6次带看 , 1个月以前发布,1199,单价48959元/平米,通州,"116.647356,39.896263"
三居室，业主家庭名下住房，房本满五年，带8平露台,珠江国际城八区 , 3室2厅 , 129.53平米 ,80人关注 , 共9次带看 , 2个月以前发布,630,单价48638元/平米,通州,"116.685959,39.937078"
时尚街区西区紧凑型正规小两居诚心出售,时尚街区西区 , 2室1厅 , 64.69平米 ,34人关注 , 共16次带看 , 1个月以前发布,375,单价57969元/平米,通州,"116.671991,39.887056"
巴克寓所 4室2厅 690万,巴克寓所 , 4室2厅 , 162.51平米 ,68人关注 , 共30次带看 , 1个月以前发布,690,单价42459元/平米,通州,"116.645523,39.893536"
通州新城 武夷花园 紫荆园 三居 南北通透 全明格局,紫荆园 , 3室2厅 , 122.83平米 ,19人关注 , 共2次带看 , 19天以前发布,655,单价53326元/平米,通州,"116.708466,39.925012"
满五年，免个税，南北通透精装修，低首付两居,群芳园 , 2室1厅 , 84.18平米 ,14人关注 , 共2次带看 , 25天以前发布,380,单价45142元/平米,通州,"116.672149,39.877771"
后南仓 南北向两居室 中等装修 新华大街官园小学南侧,后南仓 , 2室1厅 , 64.6平米 ,10人关注 , 共2次带看 , 30天以前发布,360,单价55728元/平米,通州,"116.659929,39.908429"
正规两居+南北通透+中间楼层+诚意出售,华龙小区 , 2室1厅 , 81.59平米 ,34人关注 , 共4次带看 , 19天以前发布,370,单价45349元/平米,通州,"116.695201,39.934643"
瑞都公园世家北区 南向正规三居室 采光好,瑞都公园世家北区 , 3室1厅 , 111.89平米 ,16人关注 , 共1次带看 , 18天以前发布,680,单价60774元/平米,通州,"116.685686,39.873688"
通州新城 叠拼别墅 北关地铁站+新华医院,珠江国际城一区 , 4室2厅 , 246.01平米 ,8人关注 , 共0次带看 , 29天以前发布,1599,单价64998元/平米,通州,"116.692337,39.937867"
房子满五年 南北通 一梯两户 正规两居室,五所家属院 , 2室1厅 , 52.05平米 ,149人关注 , 共18次带看 , 1个月以前发布,290,单价55716元/平米,通州,"116.671983,39.891343"
北关 西潞苑小区 正规两居室 南北通透,西潞苑小区 , 2室1厅 , 75.66平米 ,68人关注 , 共68次带看 , 7个月以前发布,380,单价50225元/平米,通州,"116.667038,39.942451"
业主换房 已买未卖 诚意出售 靠谱签约,玉桥南里 , 2室1厅 , 61.2平米 ,25人关注 , 共12次带看 , 1个月以前发布,350,单价57190元/平米,通州,"116.690108,39.895196"
中间楼层，老少皆宜，南北通透两居,皓月苑 , 2室1厅 , 78.94平米 ,7人关注 , 共16次带看 , 3个月以前发布,412,单价52192元/平米,通州,"116.675771,39.903665"
南北通透两居 低楼层 满五年 看房方便,澜花语岸 , 2室1厅 , 88.63平米 ,14人关注 , 共19次带看 , 3个月以前发布,530,单价59800元/平米,通州,"116.678048,39.933473"
新华联培训中心家属楼 4室2厅 720万,新华联培训中心家属楼 , 4室2厅 , 171.4平米 ,56人关注 , 共32次带看 , 4个月以前发布,720,单价42008元/平米,通州,"116.679407,39.937519"
业主诚心出售朝阳两居室，送40平大露台，满五年,时尚街区西区 , 2室2厅 , 85.15平米 ,49人关注 , 共15次带看 , 1个月以前发布,448,单价52614元/平米,通州,"116.671991,39.887056"
翠屏北里东区南北通透 正规三居 有钥匙 随时看,翠屏北里东区 , 3室1厅 , 115.34平米 ,15人关注 , 共6次带看 , 1个月以前发布,599,单价51934元/平米,通州,"116.654727,39.89598"
武夷花园电梯房 正规两居室 诚心出售,月季园 , 2室2厅 , 86.21平米 ,39人关注 , 共52次带看 , 4个月以前发布,515,单价59738元/平米,通州,"116.712033,39.925108"
地铁1000米成熟社区3卧室南向复式采光充足,芳洲花园 , 4室2厅 , 147平米 ,46人关注 , 共3次带看 , 3个月以前发布,545,单价37075元/平米,通州,"116.639934,39.908698"
BOBO自由城  带电梯  南北通透  两居室  ,BOBO自由城 , 2室2厅 , 102.42平米 ,104人关注 , 共43次带看 , 6个月以前发布,650,单价63465元/平米,通州,"116.700632,39.914747"
站前巴黎南北通透，板楼出售，三居室,站前巴黎 , 3室1厅 , 118.69平米 ,31人关注 , 共14次带看 , 2个月以前发布,600,单价50552元/平米,通州,"116.674053,39.882658"
通州新城 南北通透  正规三居 交通便利 产权清晰,武夷花园牡丹园 , 3室2厅 , 120.46平米 ,60人关注 , 共32次带看 , 4个月以前发布,660,单价54790元/平米,通州,"116.704315,39.92475"
苏荷时代 1室1厅 326万,苏荷时代 , 1室1厅 , 64.94平米 ,52人关注 , 共82次带看 , 2个月以前发布,326,单价50201元/平米,通州,"116.6512,39.898186"
南北双通透，上下两个两居，独立客厅餐厅 诚心出售,世纪星城三期 , 6室2厅 , 102.78平米 ,54人关注 , 共29次带看 , 3个月以前发布,800,单价77837元/平米,通州,"116.640671,39.901842"
通州新华大街正规两居，三层满五年交易仅有契税,新华小区 , 2室1厅 , 92.09平米 ,24人关注 , 共21次带看 , 4个月以前发布,470,单价51038元/平米,通州,"116.682717,39.911231"
此房是精装国际城八区精装修下叠别墅 南北通透 ,珠江国际城八区 , 叠拼别墅 , 4室2厅 ,23人关注 , 共2次带看 , 1个月以前发布,1100,单价63562元/平米,通州,"116.685959,39.937078"
格兰晴天 4室2厅 780万,格兰晴天 , 4室2厅 , 138.13平米 ,74人关注 , 共30次带看 , 5个月以前发布,780,单价56469元/平米,通州,"116.679562,39.895417"
大方居 2室1厅 315万,大方居 , 2室1厅 , 89.99平米 ,35人关注 , 共4次带看 , 15天以前发布,315,单价35004元/平米,通州,"116.639972,39.882381"
映翠居 2室1厅 390万,映翠居 , 2室1厅 , 81平米 ,33人关注 , 共6次带看 , 27天以前发布,390,单价48149元/平米,通州,"116.665214,39.886063"
新城阳光 1室1厅 320万,新城阳光 , 1室1厅 , 53.35平米 ,42人关注 , 共15次带看 , 26天以前发布,320,单价59982元/平米,通州,"116.669921,39.88789"
葛布店东里 南北通透3居室 4层,葛布店东里 , 3室1厅 , 78.03平米 ,25人关注 , 共9次带看 , 20天以前发布,385,单价49340元/平米,通州,"116.674981,39.897618"
西潞苑小区 2室1厅 422万,西潞苑小区 , 2室1厅 , 98.25平米 ,17人关注 , 共10次带看 , 27天以前发布,422,单价42952元/平米,通州,"116.667038,39.942451"
天时名苑 2室2厅 540万,天时名苑 , 2室2厅 , 99.19平米 ,28人关注 , 共9次带看 , 17天以前发布,540,单价54441元/平米,通州,"116.640545,39.911057"
四海公寓 南北通透 双卧朝南 拎包入住,四海公寓 , 3室2厅 , 104.85平米 ,14人关注 , 共7次带看 , 27天以前发布,430,单价41011元/平米,通州,"116.703713,39.95821"
果园233号院 1室1厅 300万,果园233号院 , 1室1厅 , 60.06平米 ,6人关注 , 共1次带看 , 刚刚发布,300,单价49951元/平米,通州,"116.656576,39.902756"
后南仓 2室1厅 320万,后南仓 , 2室1厅 , 58.91平米 ,15人关注 , 共3次带看 , 14天以前发布,320,单价54321元/平米,通州,"116.659929,39.908429"
果园233号院 1室1厅 300万,果园233号院 , 1室1厅 , 60.06平米 ,6人关注 , 共1次带看 , 1天以前发布,300,单价49951元/平米,通州,"116.656576,39.902756"
后南仓 2室1厅 320万,后南仓 , 2室1厅 , 58.91平米 ,15人关注 , 共3次带看 , 14天以前发布,320,单价54321元/平米,通州,"116.659929,39.908429"
花园大两居，南北通透，精装入住，交通便捷,运乔嘉园 , 2室2厅 , 92.21平米 ,48人关注 , 共170次带看 , 4个月以前发布,550,单价59647元/平米,通州,"116.698085,39.900316"
正规一居室 南向无遮挡 视野开阔 采光充足,运河湾 , 1室1厅 , 57.06平米 ,71人关注 , 共32次带看 , 28天以前发布,379,单价66422元/平米,通州,"116.703234,39.911017"
西潞苑小区 3室2厅 480万,西潞苑小区 , 3室2厅 , 134.41平米 ,56人关注 , 共29次带看 , 1个月以前发布,480,单价35712元/平米,通州,"116.667038,39.942451"
南北通透 全明格局 急售房 简单装修,杨庄22号院 , 2室1厅 , 69.58平米 ,30人关注 , 共43次带看 , 24天以前发布,345,单价49584元/平米,通州,"116.639467,39.904485"
时尚西区 正规两居电梯房 有露台首套1%契税楼下商业街,时尚街区西区 , 2室1厅 , 65平米 ,43人关注 , 共31次带看 , 3个月以前发布,368,单价56616元/平米,通州,"116.671991,39.887056"
瑞都国际北区 南向两居 电梯房,瑞都国际北区 , 2室2厅 , 108.29平米 ,45人关注 , 共25次带看 , 8个月以前发布,608,单价56146元/平米,通州,"116.662375,39.89499"
武夷花园月季园 有电梯 满五年 户型方正 诚心出售,月季园 , 2室1厅 , 73.58平米 ,42人关注 , 共54次带看 , 2个月以前发布,418,单价56809元/平米,通州,"116.712033,39.925108"
满五年 中间楼层 南北通透两居室,西上园四区 , 2室1厅 , 87平米 ,25人关注 , 共46次带看 , 3个月以前发布,521,单价59886元/平米,通州,"116.684161,39.907381"
天时名苑 2室2厅 540万,天时名苑 , 2室2厅 , 100.65平米 ,30人关注 , 共24次带看 , 1个月以前发布,540,单价53652元/平米,通州,"116.640545,39.911057"
武夷花园紫荆园 南北通透 低楼层 满五年,紫荆园 , 2室1厅 , 88.18平米 ,39人关注 , 共56次带看 , 3个月以前发布,525,单价59538元/平米,通州,"116.708466,39.925012"
梨园久居雅园 精装两居 南北通透  满五年住房,久居雅园 , 2室2厅 , 106.12平米 ,60人关注 , 共45次带看 , 5个月以前发布,508,单价47871元/平米,通州,"116.676119,39.875612"
金隅七零九零 2室1厅 425万,金隅七零九零 , 2室1厅 , 87.51平米 ,50人关注 , 共30次带看 , 1个月以前发布,425,单价48566元/平米,通州,"116.70811,39.888054"
北关富河园 二改三户型 6号线   随时看房 ,富河园 , 2室1厅 , 91.66平米 ,24人关注 , 共33次带看 , 3个月以前发布,450,单价49095元/平米,通州,"116.661047,39.932185"
杨庄小区 2室1厅 330万,杨庄小区 , 2室1厅 , 65.82平米 ,32人关注 , 共26次带看 , 1个月以前发布,330,单价50137元/平米,通州,"116.641763,39.905375"
南北通透一居  满五年 精装 诚售,旗舰凯旋一期 , 1室1厅 , 73.7平米 ,69人关注 , 共37次带看 , 3个月以前发布,349,单价47355元/平米,通州,"116.65244,39.883322"
南北通透复式，精装自住，电梯楼中间层。,雅丽世居 , 2室2厅 , 103.44平米 ,19人关注 , 共21次带看 , 1个月以前发布,489,单价47274元/平米,通州,"116.651427,39.902087"
雅丽世居 1室1厅 304万,雅丽世居 , 1室1厅 , 53.83平米 ,49人关注 , 共15次带看 , 27天以前发布,304,单价56475元/平米,通州,"116.651427,39.902087"
运河西大街，满五年，东西通透两居室,艺苑西街9号院 , 2室1厅 , 71.84平米 ,4人关注 , 共0次带看 , 22天以前发布,347,单价48302元/平米,通州,"116.676831,39.900109"
采光好，中间楼层，精装修，可改三居室。,西潞苑小区 , 2室2厅 , 86平米 ,3人关注 , 共0次带看 , 21天以前发布,430,单价50000元/平米,通州,"116.667038,39.942451"
复式三居室  采光好  交通便利,西上园老三区 , 3室2厅 , 100.58平米 ,11人关注 , 共0次带看 , 30天以前发布,500,单价49712元/平米,通州,"116.686389,39.907824"
复式结构，精装自住，文艺格调，全南向落地窗大阳台！,加华印象街 , 3室2厅 , 151平米 ,9人关注 , 共0次带看 , 18天以前发布,860,单价56954元/平米,通州,"116.694847,39.921775"
皓月苑南北通透两居 双卫 中间楼层,皓月苑 , 2室1厅 , 90.52平米 ,6人关注 , 共1次带看 , 21天以前发布,460,单价50818元/平米,通州,"116.675771,39.903665"
新通国际花园 2室1厅 503万,新通国际花园 , 2室1厅 , 90.1平米 ,47人关注 , 共79次带看 , 3个月以前发布,503,单价55827元/平米,通州,"116.679317,39.889108"
西南朝向，采光和通风很好，正规1居室，格局方正。,大方居 , 1室1厅 , 64.44平米 ,82人关注 , 共27次带看 , 1个月以前发布,260,单价40348元/平米,通州,"116.639972,39.882381"
通州八里桥地铁站 精装南北通透一居 满5！,长桥园公寓 , 1室1厅 , 66.47平米 ,87人关注 , 共75次带看 , 4个月以前发布,365,单价54912元/平米,通州,"116.63264,39.913741"
京贸国际城西区 1室1厅 425万,京贸国际城西区 , 1室1厅 , 68.09平米 ,28人关注 , 共23次带看 , 1个月以前发布,425,单价62418元/平米,通州,"116.690996,39.925159"
苏荷时代 1室1厅 388万,苏荷时代 , 1室1厅 , 68.5平米 ,17人关注 , 共26次带看 , 2个月以前发布,388,单价56643元/平米,通州,"116.6512,39.898186"
水仙园 2室1厅 531万,水仙园 , 2室1厅 , 92.79平米 ,16人关注 , 共40次带看 , 1个月以前发布,531,单价57226元/平米,通州,"116.701064,39.920295"
北苑55号院 与万达一路之隔 交通便利 位置繁华,北苑甲55号院 , 3室1厅 , 78.11平米 ,8人关注 , 共8次带看 , 1个月以前发布,415,单价53131元/平米,通州,"116.646635,39.914115"
西向大1居室 房本满5年 业主诚心卖,西潞苑小区 , 1室2厅 , 84.91平米 ,61人关注 , 共100次带看 , 2个月以前发布,340,单价40043元/平米,通州,"116.667038,39.942451"
满五年纯南向视野好采光佳户型方正,博客园 , 1室0厅 , 54.49平米 ,57人关注 , 共26次带看 , 4个月以前发布,310,单价56892元/平米,通州,"116.69654,39.903388"
6号线北运河西站精装满五年两居室南北通透,运河明珠 , 2室1厅 , 94.42平米 ,60人关注 , 共135次带看 , 2个月以前发布,575,单价60899元/平米,通州,"116.696144,39.906537"
南北2居 精装修 采光好 适合居住,新城阳光 , 2室1厅 , 96.5平米 ,34人关注 , 共16次带看 , 2个月以前发布,495,单价51296元/平米,通州,"116.669921,39.88789"
通州 运乔嘉园 复式四居室 南北通透 赠送前后露台,运乔嘉园 , 4室2厅 , 181.26平米 ,18人关注 , 共0次带看 , 1个月以前发布,820,单价45239元/平米,通州,"116.698085,39.900316"
北苑城铁 南北通透复式 有露台户型方正,新华联锦园 , 4室3厅 , 194.76平米 ,37人关注 , 共0次带看 , 1个月以前发布,800,单价41077元/平米,通州,"116.636059,39.907157"
天赐良园东三期 通州新城地铁6号线 精装复式 ,天赐良园东三期 , 4室2厅 , 173平米 ,69人关注 , 共14次带看 , 2个月以前发布,680,单价39307元/平米,通州,"116.648255,39.931905"
中间位置中高楼层 南北通透明厨明卫 免征个人所得税,世纪星城三期 , 3室2厅 , 145.37平米 ,33人关注 , 共23次带看 , 2个月以前发布,820,单价56408元/平米,通州,"116.640671,39.901842"
北关富河园 6号线 满五年 精装三居 新城商务区,富河园 , 3室2厅 , 114.62平米 ,56人关注 , 共23次带看 , 2个月以前发布,539,单价47025元/平米,通州,"116.661047,39.932185"
九棵树  葛布店南里  南北通透两居  装修好,葛布店南里 , 2室1厅 , 60.01平米 ,46人关注 , 共18次带看 , 4个月以前发布,345,单价57491元/平米,通州,"116.668441,39.897465"
加州小镇C区 南北通透 精装修 拎包入住,DBC加州小镇C区 , 2室2厅 , 90.38平米 ,49人关注 , 共19次带看 , 2个月以前发布,536,单价59306元/平米,通州,"116.69007,39.870642"
香林郡 4室2厅 750万,香林郡 , 4室2厅 , 168.91平米 ,73人关注 , 共14次带看 , 1个月以前发布,750,单价44403元/平米,通州,"116.689623,39.907949"
满五年.不临街.全明格局.现在已经改成小两居,DBC加州小镇C区 , 1室1厅 , 68平米 ,47人关注 , 共35次带看 , 2个月以前发布,418,单价61471元/平米,通州,"116.69007,39.870642"
京贸国际城东区正规三居中间楼层,京贸国际城东区 , 3室1厅 , 89.89平米 ,53人关注 , 共29次带看 , 3个月以前发布,475,单价52843元/平米,通州,"116.697005,39.925858"
地铁6号线  南北两居  诚心出售,天赐良园二期 , 2室2厅 , 85.33平米 ,67人关注 , 共24次带看 , 1个月以前发布,435,单价50979元/平米,通州,"116.650294,39.934305"
月季园 2室1厅 540万,月季园 , 2室1厅 , 89.46平米 ,2人关注 , 共0次带看 , 20天以前发布,540,单价60363元/平米,通州,"116.712033,39.925108"
葛布店北里 3室1厅 445万,葛布店北里 , 3室1厅 , 86.9平米 ,0人关注 , 共0次带看 , 15天以前发布,445,单价51209元/平米,通州,"116.66424,39.899598"
柳岸景园 2室2厅 492万,柳岸景园 , 2室2厅 , 105.08平米 ,9人关注 , 共0次带看 , 14天以前发布,492,单价46822元/平米,通州,"116.70193,39.899597"
南北通透3居 电梯房 双阳台 精装修 ,日光清城 , 3室1厅 , 130.14平米 ,11人关注 , 共20次带看 , 1个月以前发布,650,单价49947元/平米,通州,"116.653763,39.901479"
业主诚心卖，看房方便，东南朝向大开间,苏荷时代 , 1室0厅 , 73.34平米 ,26人关注 , 共101次带看 , 4个月以前发布,380,单价51814元/平米,通州,"116.6512,39.898186"
客厅大，采光好，正规大两居， 诚心出售,艺苑西里 , 2室1厅 , 96.45平米 ,43人关注 , 共16次带看 , 4个月以前发布,380,单价39399元/平米,通州,"116.675538,39.90116"
新城东里 3室2厅 600万,新城东里 , 3室2厅 , 124.64平米 ,5人关注 , 共11次带看 , 1个月以前发布,600,单价48139元/平米,通州,"116.667363,39.905367"
正规两居室，户型方正，电梯房，上下便捷,大方居 , 2室1厅 , 89.99平米 ,33人关注 , 共22次带看 , 1个月以前发布,325,单价36116元/平米,通州,"116.639972,39.882381"
史家小学 2004年2居 南北 客厅宽4米带阳台且落地飘窗,幸福艺居 , 2室1厅 , 80平米 ,23人关注 , 共7次带看 , 1个月以前发布,430,单价53750元/平米,通州,"116.695911,39.894711"
新华联锦园南北通透两居，中间位置，交通便利,新华联锦园 , 2室1厅 , 93.32平米 ,41人关注 , 共51次带看 , 3个月以前发布,495,单价53044元/平米,通州,"116.636059,39.907157"
九棵树瑞都国际南区人车分流  南北三居 业主自住 ,瑞都国际南区 , 3室2厅 , 140.2平米 ,34人关注 , 共7次带看 , 1个月以前发布,750,单价53496元/平米,通州,"116.662088,39.893938"
满五   南北通透   低楼层,乔庄北街305号院 , 2室1厅 , 74.36平米 ,44人关注 , 共39次带看 , 3个月以前发布,400,单价53793元/平米,通州,"116.687988,39.902032"
通州北苑 通典铭居 南北通透两居室 后排 不临街,通典铭居 , 2室1厅 , 133平米 ,14人关注 , 共7次带看 , 3个月以前发布,665,单价50000元/平米,通州,"116.641021,39.914053"
花园洋房 满五年 没有个税 南北通透,荔景园 , 2室1厅 , 91.96平米 ,20人关注 , 共10次带看 , 1个月以前发布,590,单价64159元/平米,通州,"116.711337,39.9184"
花园洋房 满五年 没有个税 南北通透,荔景园 , 2室1厅 , 91.96平米 ,20人关注 , 共10次带看 , 1个月以前发布,590,单价64159元/平米,通州,"116.711337,39.9184"
业主换房，诚心出售此房，看房方便,巴克摩界 , 2室1厅 , 64平米 ,36人关注 , 共19次带看 , 2个月以前发布,460,单价71875元/平米,通州,"116.648559,39.894325"
加华印象街电梯两居 南北通透 精装好房,加华印象街 , 2室2厅 , 99.47平米 ,46人关注 , 共35次带看 , 4个月以前发布,585,单价58812元/平米,通州,"116.694847,39.921775"
时尚街区西区满五，诚心出售。看房方便。,时尚街区西区 , 2室1厅 , 78.23平米 ,10人关注 , 共16次带看 , 1个月以前发布,420,单价53688元/平米,通州,"116.671991,39.887056"
武夷花园牡丹园 3室2厅 785万,武夷花园牡丹园 , 3室2厅 , 120.17平米 ,32人关注 , 共38次带看 , 2个月以前发布,785,单价65325元/平米,通州,"116.704315,39.92475"
南北5居室 满5年 小区中间位置,久居雅园 , 5室2厅 , 213.15平米 ,29人关注 , 共7次带看 , 1个月以前发布,760,单价35656元/平米,通州,"116.676119,39.875612"
地铁6号线  天赐良园  南向3居室,天赐良园二期 , 3室2厅 , 151平米 ,87人关注 , 共43次带看 , 5个月以前发布,560,单价37087元/平米,通州,"116.650294,39.934305"
怡佳家园 5室2厅 800万,怡佳家园 , 5室2厅 , 243平米 ,43人关注 , 共9次带看 , 7个月以前发布,800,单价32922元/平米,通州,"116.650734,39.914025"
通州新城北苑商圈南北通透二居室低楼层,西马庄园 , 2室2厅 , 78平米 ,59人关注 , 共13次带看 , 1个月以前发布,335,单价42949元/平米,通州,"116.636774,39.918867"
此房满五，精装，南向两居室，中间,时尚街区西区 , 2室1厅 , 88.5平米 ,3人关注 , 共2次带看 , 23天以前发布,498,单价56272元/平米,通州,"116.671991,39.887056"
馨通家园 2室1厅 460万,馨通家园 , 2室1厅 , 94.51平米 ,10人关注 , 共1次带看 , 28天以前发布,460,单价48673元/平米,通州,"116.652755,39.921309"
杨庄北街3号院 3室1厅 360万,杨庄北街3号院 , 3室1厅 , 80.07平米 ,21人关注 , 共3次带看 , 22天以前发布,360,单价44961元/平米,通州,"116.642238,39.90911"
紫荆园 2室1厅 600万,紫荆园 , 2室1厅 , 101平米 ,11人关注 , 共4次带看 , 27天以前发布,600,单价59406元/平米,通州,"116.708466,39.925012"
自然佳境 2室1厅 430万,自然佳境 , 2室1厅 , 88.38平米 ,7人关注 , 共2次带看 , 23天以前发布,430,单价48654元/平米,通州,"116.698943,39.942109"
加华印象街 3室1厅 658万,加华印象街 , 3室1厅 , 114.93平米 ,12人关注 , 共2次带看 , 25天以前发布,658,单价57253元/平米,通州,"116.694847,39.921775"
车站路 3室1厅 560万,车站路 , 3室1厅 , 108平米 ,10人关注 , 共2次带看 , 21天以前发布,560,单价51852元/平米,通州,"116.667758,39.911718"
